Tool	Data_type	Superpopulation	N_samples	A	B	C	DRB1	DQB1	Mean_concordance
arcashla	wgs	AFR	12	0.000	0.250	0.083	0.250	0.167	0.150
hlahd	wgs	AFR	12	0.583	0.417	0.083	0.583	0.500	0.433
hlala	wgs	AFR	1	0.000	0.000	0.000	0.000	0.000	0.000
optitype	wgs	AFR	12	0.583	0.833	0.417	NA	NA	0.611
spechla	wgs	AFR	12	0.167	0.083	0.250	0.417	0.583	0.300
xhla	wgs	AFR	1	0.000	1.000	0.000	1.000	1.000	0.600
