Tool	Data_type	Superpopulation	N_samples	A	B	C	DRB1	DQB1	Mean_concordance
arcashla	wgs	EAS	2	0.000	0.000	0.000	0.500	0.000	0.100
hlahd	wgs	EAS	2	0.000	0.000	0.000	1.000	1.000	0.400
hlala	wgs	EAS	0	NA	NA	NA	NA	NA	NA
optitype	wgs	EAS	2	0.500	1.000	0.000	NA	NA	0.500
spechla	wgs	EAS	2	0.000	0.500	0.000	0.500	1.000	0.400
xhla	wgs	EAS	0	NA	NA	NA	NA	NA	NA
